strain,antisigma,arabinose,aTc,DHBA,lum_blank_mean,lum_blank_sd
GFC0743,AS31_t1+PpcaU-AS28_t1,5e-6,0,0,338.86327932521624,73.71511445982657
GFC0743,AS31_t1+PpcaU-AS28_t1,5e-6,2.5,0,408.2947664491301,63.542659582348705
GFC0738,AS20_t2+PpcaU-AS28_t1,2.5e-5,0,0,383.72172011717305,61.43450545868551
GFC0738,AS20_t2+PpcaU-AS28_t1,2.5e-5,2.5,0,218.25486422602205,43.69975491553538
GFC0739,AS20_t2+PpcaU-AS31_t1,2.5e-5,0,0,364.8987202633143,66.66407468240753
GFC0739,AS20_t2+PpcaU-AS31_t1,2.5e-5,2.5,0,447.6027406793816,91.11359699513378
GFC0740,AS28_t1+PpcaU-AS20_t2,2.5e-5,0,0,22245.676761844712,6177.828593800181
GFC0740,AS28_t1+PpcaU-AS20_t2,2.5e-5,2.5,0,18455.49018248427,5969.150549585666
GFC0741,AS28_t1+PpcaU-AS31_t1,2.5e-5,0,0,217.05902828414617,61.36955168712792
GFC0741,AS28_t1+PpcaU-AS31_t1,2.5e-5,2.5,0,357.3320401916024,69.022191767854
GFC0742,AS31_t1+PpcaU-AS20_t2,2.5e-5,0,0,26418.522734043414,5950.028173449623
GFC0742,AS31_t1+PpcaU-AS20_t2,2.5e-5,2.5,0,11889.379988813243,2189.512849773213
GFC0743,AS31_t1+PpcaU-AS28_t1,2.5e-5,0,0,1073.16081727014,199.87349852146565
GFC0743,AS31_t1+PpcaU-AS28_t1,2.5e-5,2.5,0,325.5349441594973,124.93821601725688
GFC0738,AS20_t2+PpcaU-AS28_t1,2e-4,0,0,787.0317564434113,250.07875895537092
GFC0738,AS20_t2+PpcaU-AS28_t1,2e-4,2.5,0,520.1625350626,78.8484088766999
GFC0739,AS20_t2+PpcaU-AS31_t1,2e-4,0,0,335.9259781285662,58.29140864891382
GFC0739,AS20_t2+PpcaU-AS31_t1,2e-4,2.5,0,553.8390832239876,78.9221427075085
GFC0740,AS28_t1+PpcaU-AS20_t2,2e-4,0,0,23144.317497794957,3702.4217001476695
GFC0740,AS28_t1+PpcaU-AS20_t2,2e-4,2.5,0,25098.961680047225,3470.5642613230407
GFC0741,AS28_t1+PpcaU-AS31_t1,2e-4,0,0,339.7414087069936,78.47507353530389
GFC0741,AS28_t1+PpcaU-AS31_t1,2e-4,2.5,0,468.5897358530009,97.54439892412043
GFC0742,AS31_t1+PpcaU-AS20_t2,2e-4,0,0,24524.73593019203,4818.942599627243
GFC0742,AS31_t1+PpcaU-AS20_t2,2e-4,2.5,0,12108.261158608428,2182.776591487074
GFC0743,AS31_t1+PpcaU-AS28_t1,2e-4,0,0,1506.3110489555102,327.275315446847
GFC0743,AS31_t1+PpcaU-AS28_t1,2e-4,2.5,0,359.0945127323648,189.00132172923077
GFC0738,AS20_t2+PpcaU-AS28_t1,0,0,250,290.7281235445418,105.67788725470953
GFC0738,AS20_t2+PpcaU-AS28_t1,0,2.5,250,245.84495803612097,30.8653800997645
GFC0739,AS20_t2+PpcaU-AS31_t1,0,0,250,120.69180652091472,16.839709752873453
GFC0739,AS20_t2+PpcaU-AS31_t1,0,2.5,250,158.2318068992404,8.050334029168434
GFC0740,AS28_t1+PpcaU-AS20_t2,0,0,250,1897.489464090837,233.4526042237635
GFC0740,AS28_t1+PpcaU-AS20_t2,0,2.5,250,317.32666040088316,11.942052727561197
GFC0741,AS28_t1+PpcaU-AS31_t1,0,0,250,140.34741183426124,18.59299975762518
GFC0741,AS28_t1+PpcaU-AS31_t1,0,2.5,250,244.79461804382606,69.7701964612969
GFC0742,AS31_t1+PpcaU-AS20_t2,0,0,250,10388.515276507327,7070.529148220523
GFC0742,AS31_t1+PpcaU-AS20_t2,0,2.5,250,4494.6691136957525,997.9761933515207
GFC0743,AS31_t1+PpcaU-AS28_t1,0,0,250,206.76559077842566,47.0167731266601
GFC0743,AS31_t1+PpcaU-AS28_t1,0,2.5,250,264.83812986619387,87.29709276536963
GFC0738,AS20_t2+PpcaU-AS28_t1,5e-6,0,250,291.9547786079139,95.14267990478757
GFC0738,AS20_t2+PpcaU-AS28_t1,5e-6,2.5,250,212.15807433261787,16.161160247975896
GFC0739,AS20_t2+PpcaU-AS31_t1,5e-6,0,250,245.48689677901953,46.962408444850254
GFC0739,AS20_t2+PpcaU-AS31_t1,5e-6,2.5,250,285.77206894223553,78.06277883352935
GFC0740,AS28_t1+PpcaU-AS20_t2,5e-6,0,250,14367.493250166284,4337.258391908146
GFC0740,AS28_t1+PpcaU-AS20_t2,5e-6,2.5,250,472.9389278807129,221.39996935632232
GFC0741,AS28_t1+PpcaU-AS31_t1,5e-6,0,250,137.39098602891983,10.946533030660262
GFC0741,AS28_t1+PpcaU-AS31_t1,5e-6,2.5,250,268.76055489922015,65.15544238578445
GFC0742,AS31_t1+PpcaU-AS20_t2,5e-6,0,250,15976.36847644364,4819.411740595025
GFC0742,AS31_t1+PpcaU-AS20_t2,5e-6,2.5,250,4413.0586363767225,991.0517591943716
GFC0743,AS31_t1+PpcaU-AS28_t1,5e-6,0,250,219.90614116626108,63.27599620508973
GFC0743,AS31_t1+PpcaU-AS28_t1,5e-6,2.5,250,301.4123191526142,105.75582590111098
GFC0738,AS20_t2+PpcaU-AS28_t1,2.5e-5,0,250,355.23325352774907,66.96373262039951
GFC0738,AS20_t2+PpcaU-AS28_t1,2.5e-5,2.5,250,211.31774337175736,39.73935959261574
GFC0739,AS20_t2+PpcaU-AS31_t1,2.5e-5,0,250,393.55956407392677,92.39964995995935
GFC0739,AS20_t2+PpcaU-AS31_t1,2.5e-5,2.5,250,483.54731317717136,197.65391230270413
GFC0740,AS28_t1+PpcaU-AS20_t2,2.5e-5,0,250,27591.408033841588,14169.113456333513
GFC0740,AS28_t1+PpcaU-AS20_t2,2.5e-5,2.5,250,19913.436911993093,17159.248228637534
GFC0741,AS28_t1+PpcaU-AS31_t1,2.5e-5,0,250,220.70997783365743,121.86519877507024
GFC0741,AS28_t1+PpcaU-AS31_t1,2.5e-5,2.5,250,313.5035856794914,99.3269039509814
GFC0742,AS31_t1+PpcaU-AS20_t2,2.5e-5,0,250,24209.746290472784,6315.84179157426
GFC0742,AS31_t1+PpcaU-AS20_t2,2.5e-5,2.5,250,5085.817582844776,1419.959570207712
GFC0743,AS31_t1+PpcaU-AS28_t1,2.5e-5,0,250,765.4503737931144,599.3010674612126
GFC0743,AS31_t1+PpcaU-AS28_t1,2.5e-5,2.5,250,353.4677441496282,34.9603307929952
GFC0738,AS20_t2+PpcaU-AS28_t1,2e-4,0,250,423.6902390633645,201.5572267041129
GFC0738,AS20_t2+PpcaU-AS28_t1,2e-4,2.5,250,308.65487716730485,140.61033999767793
GFC0739,AS20_t2+PpcaU-AS31_t1,2e-4,0,250,524.2100768717332,256.1547836751331
GFC0739,AS20_t2+PpcaU-AS31_t1,2e-4,2.5,250,948.1470280004371,533.0244288361993
GFC0740,AS28_t1+PpcaU-AS20_t2,2e-4,0,250,46653.109897652466,19962.24170372157
GFC0740,AS28_t1+PpcaU-AS20_t2,2e-4,2.5,250,45423.33569352844,18436.255575576455
GFC0741,AS28_t1+PpcaU-AS31_t1,2e-4,0,250,388.48541140589214,239.6993792232487
GFC0741,AS28_t1+PpcaU-AS31_t1,2e-4,2.5,250,486.3443140913665,280.60295315834685
GFC0742,AS31_t1+PpcaU-AS20_t2,2e-4,0,250,45024.58015087414,17593.94418340031
GFC0742,AS31_t1+PpcaU-AS20_t2,2e-4,2.5,250,12972.460448235071,3433.8607329482284
GFC0743,AS31_t1+PpcaU-AS28_t1,2e-4,0,250,1841.808034091776,1411.3397927810793
GFC0743,AS31_t1+PpcaU-AS28_t1,2e-4,2.5,250,375.75669190466533,80.97575807335227
GFC0734,AS20_t2+PpcaU-AS22_t,4e-4,0,0,65075.88650828808,NA
GFC0734,AS20_t2+PpcaU-AS22_t,4e-4,2.5,0,23597.809875186435,NA
GFC0741,AS28_t1+PpcaU-AS31_t1,4e-4,0,0,387.36553335788767,NA
GFC0741,AS28_t1+PpcaU-AS31_t1,4e-4,2.5,0,419.09089513516835,NA
GFC0734,AS20_t2+PpcaU-AS22_t,4e-4,0,250,41321.439617143886,NA
GFC0734,AS20_t2+PpcaU-AS22_t,4e-4,2.5,250,38942.27565341401,NA
GFC0741,AS28_t1+PpcaU-AS31_t1,4e-4,0,250,417.1134462792194,NA
GFC0741,AS28_t1+PpcaU-AS31_t1,4e-4,2.5,250,449.4542341442534,NA
