strain,antisigma,t_statistic,df,p_value,mean_diff,fold_diff,significance
GFC0708,Ptet-AS31_t1,-29.413126851866693,8.17598418100393,1.3837261975662663e-9,0.04329794903735271,1.104836336251682,***
GFC0707,Ptet-AS28_t1,-16.02948217260207,9.923699036574853,2.0227318817672454e-08,0.5452596422854312,3.509616331146782,***
GFC0706,Ptet-AS20_t1,58.91540455988173,4.572550899510223,9.162842355028436e-8,2.5099623202295134,323.56558287777517,***
GFC0736,Ptet-AS22_t,-1.5714804980402588,7,0.16006566936417868,-0.0567467355897914,0.8775124046005336,ns
