strain,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
J,0.000025,0.000025,0.000025,0.000025,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000025,0.000025,0.000025,0.000025,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
K,0.0002,0.0002,0.0002,0.0002,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.0002,0.0002,0.0002,0.0002,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025
L,0.0004,0.0004,0.0004,0.0004,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0004,0.0004,0.0004,0.0004,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,0.000025,0.000025,0.000025,0.000025,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000025,0.000025,0.000025,0.000025,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
O,0.0002,0.0002,0.0002,0.0002,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.0002,0.0002,0.0002,0.0002,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025
P,0.0004,0.0004,0.0004,0.0004,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0004,0.0004,0.0004,0.0004,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
,,,,,,,,,,,,,,,,,,,,,,,,
antisigma,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS31_t1,Ptet-AS31_t1,Ptet-AS31_t1,Ptet-AS31_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,blank,blank,blank,blank
B,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS31_t1,Ptet-AS31_t1,Ptet-AS31_t1,Ptet-AS31_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,blank,blank,blank,blank
C,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS20_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS28_t1,Ptet-AS31_t1,Ptet-AS31_t1,Ptet-AS31_t1,Ptet-AS31_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS20_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,PpcaU-AS31_t1,blank,blank,blank,blank
