strain,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
L,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,NA,NA,NA,NA,NA,NA,NA,NA,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
M,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
N,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,NA,NA,NA,NA,NA,NA,NA,NA,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
O,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,NA,NA,NA,NA,NA,NA,NA,NA,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025
P,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,NA,NA,NA,NA,NA,NA,NA,NA,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
,,,,,,,,,,,,,,,,,,,,,,,,
antisigma,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,NA,NA,NA,NA,NA,NA,NA,NA,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2
B,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,NA,NA,NA,NA,NA,NA,NA,NA,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2
C,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,NA,NA,NA,NA,NA,NA,NA,NA,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2
