strain,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
H,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
K,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025
L,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
O,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025
P,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
,,,,,,,,,,,,,,,,,,,,,,,,
antisigma,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS31,Ptet-AS20+Ptet-AS31,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS31,Ptet-AS28+Ptet-AS31,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS28,Ptet-AS31+Ptet-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS31,Ptet-AS20+PpcaU-AS31,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS31,Ptet-AS28+PpcaU-AS31,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS28,Ptet-AS31+PpcaU-AS28
B,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS31,Ptet-AS20+Ptet-AS31,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS31,Ptet-AS28+Ptet-AS31,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS28,Ptet-AS31+Ptet-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS31,Ptet-AS20+PpcaU-AS31,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS31,Ptet-AS28+PpcaU-AS31,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS28,Ptet-AS31+PpcaU-AS28
C,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS31,Ptet-AS20+Ptet-AS31,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS31,Ptet-AS28+Ptet-AS31,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS28,Ptet-AS31+Ptet-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS31,Ptet-AS20+PpcaU-AS31,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS31,Ptet-AS28+PpcaU-AS31,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS28,Ptet-AS31+PpcaU-AS28
D,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS31,Ptet-AS20+Ptet-AS31,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS31,Ptet-AS28+Ptet-AS31,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS28,Ptet-AS31+Ptet-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS31,Ptet-AS20+PpcaU-AS31,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS31,Ptet-AS28+PpcaU-AS31,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS28,Ptet-AS31+PpcaU-AS28
E,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS31,Ptet-AS20+Ptet-AS31,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS31,Ptet-AS28+Ptet-AS31,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS28,Ptet-AS31+Ptet-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS31,Ptet-AS20+PpcaU-AS31,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS31,Ptet-AS28+PpcaU-AS31,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS28,Ptet-AS31+PpcaU-AS28
F,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS31,Ptet-AS20+Ptet-AS31,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS31,Ptet-AS28+Ptet-AS31,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS28,Ptet-AS31+Ptet-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS31,Ptet-AS20+PpcaU-AS31,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS31,Ptet-AS28+PpcaU-AS31,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS28,Ptet-AS31+PpcaU-AS28
G,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS31,Ptet-AS20+Ptet-AS31,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS31,Ptet-AS28+Ptet-AS31,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS28,Ptet-AS31+Ptet-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS31,Ptet-AS20+PpcaU-AS31,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS31,Ptet-AS28+PpcaU-AS31,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS28,Ptet-AS31+PpcaU-AS28
H,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS31,Ptet-AS20+Ptet-AS31,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS31,Ptet-AS28+Ptet-AS31,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS28,Ptet-AS31+Ptet-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS31,Ptet-AS20+PpcaU-AS31,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS31,Ptet-AS28+PpcaU-AS31,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS28,Ptet-AS31+PpcaU-AS28
I,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS31,Ptet-AS20+Ptet-AS31,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS31,Ptet-AS28+Ptet-AS31,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS28,Ptet-AS31+Ptet-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS31,Ptet-AS20+PpcaU-AS31,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS31,Ptet-AS28+PpcaU-AS31,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS28,Ptet-AS31+PpcaU-AS28
J,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS31,Ptet-AS20+Ptet-AS31,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS31,Ptet-AS28+Ptet-AS31,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS28,Ptet-AS31+Ptet-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS31,Ptet-AS20+PpcaU-AS31,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS31,Ptet-AS28+PpcaU-AS31,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS28,Ptet-AS31+PpcaU-AS28
K,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS31,Ptet-AS20+Ptet-AS31,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS31,Ptet-AS28+Ptet-AS31,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS28,Ptet-AS31+Ptet-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS31,Ptet-AS20+PpcaU-AS31,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS31,Ptet-AS28+PpcaU-AS31,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS28,Ptet-AS31+PpcaU-AS28
L,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS31,Ptet-AS20+Ptet-AS31,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS31,Ptet-AS28+Ptet-AS31,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS28,Ptet-AS31+Ptet-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS31,Ptet-AS20+PpcaU-AS31,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS31,Ptet-AS28+PpcaU-AS31,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS28,Ptet-AS31+PpcaU-AS28
M,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS31,Ptet-AS20+Ptet-AS31,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS31,Ptet-AS28+Ptet-AS31,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS28,Ptet-AS31+Ptet-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS31,Ptet-AS20+PpcaU-AS31,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS31,Ptet-AS28+PpcaU-AS31,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS28,Ptet-AS31+PpcaU-AS28
N,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS31,Ptet-AS20+Ptet-AS31,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS31,Ptet-AS28+Ptet-AS31,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS28,Ptet-AS31+Ptet-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS31,Ptet-AS20+PpcaU-AS31,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS31,Ptet-AS28+PpcaU-AS31,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS28,Ptet-AS31+PpcaU-AS28
O,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS31,Ptet-AS20+Ptet-AS31,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS31,Ptet-AS28+Ptet-AS31,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS28,Ptet-AS31+Ptet-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS31,Ptet-AS20+PpcaU-AS31,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS31,Ptet-AS28+PpcaU-AS31,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS28,Ptet-AS31+PpcaU-AS28
P,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS28,Ptet-AS20+Ptet-AS31,Ptet-AS20+Ptet-AS31,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS20,Ptet-AS28+Ptet-AS31,Ptet-AS28+Ptet-AS31,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS20,Ptet-AS31+Ptet-AS28,Ptet-AS31+Ptet-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS28,Ptet-AS20+PpcaU-AS31,Ptet-AS20+PpcaU-AS31,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS20,Ptet-AS28+PpcaU-AS31,Ptet-AS28+PpcaU-AS31,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS20,Ptet-AS31+PpcaU-AS28,Ptet-AS31+PpcaU-AS28
,,,,,,,,,,,,,,,,,,,,,,,,
aTc,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
