strain,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
H,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
K,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025
L,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
O,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025
P,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
,,,,,,,,,,,,,,,,,,,,,,,,
antisigma,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1
B,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1
C,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1
D,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1
E,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1
F,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1
G,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1
H,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1
I,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1
J,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1
K,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1
L,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1
M,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1
N,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1
O,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS20_t2+PpcaU-AS22_t,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS22_t+PpcaU-AS20_t2,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS28_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS20_t2+PpcaU-AS31_t1,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS20_t2,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1,AS28_t1+PpcaU-AS31_t1
