term,group1,group2,estimate,p.adj,p.adj.signif
strain,GFC0162,GFC0167,-0.06085325455957455,2.06e-7,****
strain,GFC0162,GFC0220,-0.0600435427944066,3.22e-10,****
strain,GFC0162,SV01,0.03205285796346102,0.00924,**
strain,GFC0163,GFC0164,-0.11388824169545195,0,****
strain,GFC0163,GFC0165,0.004939999461890082,1,ns
strain,GFC0163,GFC0166,-0.014803974953804117,0.972,ns
strain,GFC0163,GFC0167,-0.07432195700293653,6.46e-11,****
strain,GFC0163,GFC0220,-0.07351224523776859,1.09e-13,****
strain,GFC0163,SV01,0.018584155520099038,0.605,ns
strain,GFC0164,GFC0165,0.11882824115734203,0,****
strain,GFC0164,GFC0166,0.09908426674164783,1e-13,****
strain,GFC0164,GFC0167,0.03956628469251541,0.00574,**
strain,GFC0164,GFC0220,0.04037599645768336,1.38e-4,***
strain,GFC0164,SV01,0.13247239721555099,0,****
strain,GFC0165,GFC0166,-0.0197439744156942,0.779,ns
strain,GFC0165,GFC0167,-0.07926195646482662,2.76e-12,****
strain,GFC0165,GFC0220,-0.07845224469965867,1.09e-13,****
strain,GFC0165,SV01,0.013644156058208956,0.938,ns
strain,GFC0166,GFC0167,-0.05951798204913242,4.33e-7,****
strain,GFC0166,GFC0220,-0.05870827028396447,8.62e-10,****
strain,GFC0166,SV01,0.033388130473903155,0.00503,**
strain,GFC0167,GFC0220,8.097117651679475e-4,1,ns
strain,GFC0167,SV01,0.09290611252303557,4.55e-15,****
strain,GFC0220,SV01,0.09209640075786762,0,****
interaction_var:strain,0.0:GFC0155,100.0:GFC0155,-0.12250567991003825,2.71e-6,****
interaction_var:strain,0.0:GFC0155,0.5e-06:GFC0155,-0.022819622392912797,1,ns
interaction_var:strain,0.0:GFC0155,100.5e-06:GFC0155,-0.1270031690273374,7.57e-7,****
interaction_var:strain,0.0:GFC0155,0.0:GFC0156,-0.021126355721856144,1,ns
interaction_var:strain,0.0:GFC0155,100.0:GFC0156,-0.12087469147286647,4.26e-6,****
interaction_var:strain,0.0:GFC0155,0.5e-06:GFC0156,-0.042226146105270285,0.998,ns
interaction_var:strain,0.0:GFC0155,100.5e-06:GFC0156,-0.12145006881646234,3.63e-6,****
interaction_var:strain,0.0:GFC0155,0.0:GFC0157,-0.025780811161380562,1,ns
interaction_var:strain,0.0:GFC0155,100.0:GFC0157,-0.21597127244725361,6.32e-13,****
interaction_var:strain,0.0:GFC0155,0.5e-06:GFC0157,-0.16531472085156082,5.24e-12,****
interaction_var:strain,0.0:GFC0155,100.5e-06:GFC0157,-0.20390786989284224,4.75e-13,****
interaction_var:strain,0.0:GFC0155,0.0:GFC0158,-0.0064159617906863475,1,ns
interaction_var:strain,0.0:GFC0155,100.0:GFC0158,-0.020759398232749138,1,ns
interaction_var:strain,0.0:GFC0155,0.5e-06:GFC0158,-2.5759013866849534e-4,1,ns
interaction_var:strain,0.0:GFC0155,100.5e-06:GFC0158,-0.05403850260926968,0.866,ns
interaction_var:strain,0.0:GFC0155,0.0:GFC0159,-0.03176830268345565,1,ns
interaction_var:strain,0.0:GFC0155,100.0:GFC0159,-0.023798973813957264,1,ns
interaction_var:strain,0.0:GFC0155,0.5e-06:GFC0159,-0.16592197102287537,4.36e-12,****
interaction_var:strain,0.0:GFC0155,100.5e-06:GFC0159,-0.07363530202652621,0.151,ns
interaction_var:strain,0.0:GFC0155,0.0:GFC0160,-0.002827081616782634,1,ns
interaction_var:strain,0.0:GFC0155,100.0:GFC0160,-0.13184643956868158,1.85e-7,****
interaction_var:strain,0.0:GFC0155,0.5e-06:GFC0160,-0.11935672697384053,6.47e-6,****
interaction_var:strain,0.0:GFC0155,100.5e-06:GFC0160,-0.18297283856300328,5.55e-13,****
interaction_var:strain,0.0:GFC0155,0.0:GFC0161,-0.004960880929457012,1,ns
interaction_var:strain,0.0:GFC0155,100.0:GFC0161,-0.25013636961997743,0,****
interaction_var:strain,0.0:GFC0155,0.5e-06:GFC0161,-0.02980715113408894,1,ns
interaction_var:strain,0.0:GFC0155,100.5e-06:GFC0161,-0.2576013683761399,0,****
interaction_var:strain,0.0:GFC0155,0.0:GFC0162,0.019251464970855225,1,ns
interaction_var:strain,0.0:GFC0155,100.0:GFC0162,-0.1003150242701002,8.39e-4,***
interaction_var:strain,0.0:GFC0155,0.5e-06:GFC0162,0.04123496914234698,0.999,ns
interaction_var:strain,0.0:GFC0155,100.5e-06:GFC0162,-0.09688316029376376,0.00185,**
interaction_var:strain,0.0:GFC0155,0.0:GFC0163,0.017158533616307703,1,ns
interaction_var:strain,0.0:GFC0155,100.0:GFC0163,-0.07957665293663152,0.0591,ns
interaction_var:strain,0.0:GFC0155,0.5e-06:GFC0163,0.023241607575328282,1,ns
interaction_var:strain,0.0:GFC0155,100.5e-06:GFC0163,-0.0436604289322185,0.995,ns
interaction_var:strain,0.0:GFC0155,0.0:GFC0164,-0.030159743080677204,1,ns
interaction_var:strain,0.0:GFC0155,100.0:GFC0164,-0.17999401233128182,5.8e-13,****
interaction_var:strain,0.0:GFC0155,0.5e-06:GFC0164,-0.12168260460280766,3.41e-6,****
interaction_var:strain,0.0:GFC0155,100.5e-06:GFC0164,-0.20655354744425514,4.61e-13,****
interaction_var:strain,0.0:GFC0155,0.0:GFC0165,0.025758125676723476,1,ns
interaction_var:strain,0.0:GFC0155,100.0:GFC0165,-0.010509430571993078,1,ns
interaction_var:strain,0.0:GFC0155,0.5e-06:GFC0165,-0.019171093763381386,1,ns
interaction_var:strain,0.0:GFC0155,100.5e-06:GFC0165,-0.05915454417100252,0.682,ns
interaction_var:strain,0.0:GFC0155,0.0:GFC0166,-0.0033962832813311805,1,ns
interaction_var:strain,0.0:GFC0155,100.0:GFC0166,-0.021296435717368334,1,ns
interaction_var:strain,0.0:GFC0155,0.5e-06:GFC0166,-0.049727680989496675,0.955,ns
interaction_var:strain,0.0:GFC0155,100.5e-06:GFC0166,-0.06763244050423409,0.326,ns
interaction_var:strain,0.0:GFC0155,0.0:GFC0167,-0.01625848778165953,1,ns
interaction_var:strain,0.0:GFC0155,100.0:GFC0167,-0.16106422705519757,1.99e-11,****
interaction_var:strain,0.0:GFC0155,0.5e-06:GFC0167,-0.032958294641118324,1,ns
interaction_var:strain,0.0:GFC0155,100.5e-06:GFC0167,-0.1698437592109846,1.54e-12,****
interaction_var:strain,0.0:GFC0155,0.0:GFC0220,-0.007428822049016126,1,ns
interaction_var:strain,0.0:GFC0155,100.0:GFC0220,-0.15008129464576933,5.58e-13,****
interaction_var:strain,0.0:GFC0155,0.5e-06:GFC0220,-0.02383439359943612,1,ns
interaction_var:strain,0.0:GFC0155,100.5e-06:GFC0220,-0.1679125724124907,2.46e-12,****
interaction_var:strain,0.0:GFC0155,0.0:SV01,0.026945244090028353,1,ns
interaction_var:strain,0.0:GFC0155,100.0:SV01,0.007389147597684387,1,ns
interaction_var:strain,0.0:GFC0155,0.5e-06:SV01,-0.0030589343563433014,1,ns
interaction_var:strain,0.0:GFC0155,100.5e-06:SV01,-0.03510205760689972,1,ns
